name,address,number_,geo_point_2d,latitud,longitud
222_AVDA_MAESTRO_RODRIGO_ESQ_AVDA_MANUEL_DE_FALLA,Maestro Rodrigo - Manuel de Falla,222,"39.47689335174765,-0.39728245609920837",39.47689335174765,-0.39728245609920837
223_CALLE_VALLE_BALLESTERA_ESQ_PLAZA_POLICIA_LOCAL,Valle de la Ballestera - Hospital Nueve de Octubre,223,"39.47855835893999,-0.4011874677803583",39.47855835893999,-0.4011874677803583
224_PLAZA_JOSE_MONFORTE_TUDELA_ESQ_CALLE_HERNANDEZ,Jorge Comin (Metge) - Terrateig,224,"39.480568366964896,-0.40358847435527895",39.480568366964896,-0.40358847435527895
225_CALLE_PADRE_BARRANCO_DESPUES_CALLE_BENIFAIRO,Padre Barranco - Carlos Ruano Llopis (Pintor),225,"39.488107390420495,-0.40114246019172434",39.488107390420495,-0.40114246019172434
226_CALLE_SAFOR_ESQ_AVDA_DE_LAS_CORTES_VALENCIANAS,Corts Valencianes - La Safor,226,"39.49086439918327,-0.3988594505654264",39.49086439918327,-0.3988594505654264
227_CALLE_SAN_CLEMENTE_ENTRA_HOSPITAL_ARNAU_VILANO,San Clemente - Hospital Arnau de Vilanova,227,"39.49024839844318,-0.40293146422681364",39.49024839844318,-0.40293146422681364
228_AVDA_NICASIO_BENLLOCH_ESQ_CALLE_L'HORTA_SUD,Doctor Nicasio Benlloch - L'Horta Sud,228,"39.4936924079167,-0.398671446907537",39.4936924079167,-0.398671446907537
229_CALLE_AITANA_ESQ_AVDA_BURJASSOT,Aitana - Florista,229,"39.493104403991694,-0.39480643424749534",39.493104403991694,-0.39480643424749534
023_GRAN_VIA_FERNANDO_EL_CATOLICO,Fernando el Católico - Erudito Orellana,23,"39.471628328748515,-0.3861784216967592",39.471628328748515,-0.3861784216967592
230_CALLE_POETA_SERRANO_CLAVERO_EQ_GENERAL_LLORENS,Poeta Serrano Clavero - General Llorens,230,"39.49475040560395,-0.38678440634001116",39.49475040560395,-0.38678440634001116
231_CALLE_DE_ALCAÑIZ_ESQ_CALLE_CAMBRILS,Alcañiz - Cambrils,231,"39.49507240298451,-0.3786213772644184",39.49507240298451,-0.3786213772644184
232_SAN_VICENTE_DE_PAUL_SANTIAGO_RUSIÑOL,San Vicente Paul - Santiago Rusiñol,232,"39.49464439592328,-0.36575333473149996",39.49464439592328,-0.36575333473149996
233_SAN_JUAN_BOSCO_SANTIAGO_RUSIÑOL,San Juan Bosco - Santiago Rusiñol,233,"39.497160406039164,-0.36943734517384297",39.497160406039164,-0.36943734517384297
234_PLAZA MUSICO_ESPI_JOSE_ESTEVE,Plaza Músico Espí,234,"39.49649940567526,-0.3736443597891149",39.49649940567526,-0.3736443597891149
235_CONDE_DE_TORREFIEL_CECILIO_PLA,Conde Torrefiel - Cecilio Plá,235,"39.49804541205544,-0.3772033703255944",39.49804541205544,-0.3772033703255944
236_RIO_SEGRE_RAFAEL_COMPANY,Rio Segre - Rafael Company,236,"39.49506640496422,-0.38227839001583847",39.49506640496422,-0.38227839001583847
237_LEVANTE_UD_AVDA_ECUADOR,Levante U.D. - Ecuador,237,"39.494758407776374,-0.39103842063587124",39.494758407776374,-0.39103842063587124
238_SAN_JOSE_ARTESANO_FRANCISCO_MOROTE_GREUS,San Jose Artesano - Francisco Morote Greus,238,"39.497449418355934,-0.39438342966293366",39.497449418355934,-0.39438342966293366
239_LA_FLORISTA_TRANVIA_PALACIO_CONGRESOS,Florista - T4 (Palau de Congressos),239,"39.4969854198013,-0.39996444953107335",39.4969854198013,-0.39996444953107335
024_GRAN_VIA_RAMON_Y_CAJAL,Fernando el Católico - Cuenca,24,"39.469077319212495,-0.3840274173384119",39.469077319212495,-0.3840274173384119
240_CAMP_DEL_TURIA_AVDA_CORTES_VALENCIANAS,Camp del Turia - Corts Valencianes,240,"39.495004413973305,-0.40154745608135123",39.495004413973305,-0.40154745608135123
241_VALL_DE_ALBAIDA_PEATONAL,La Vall d'Albaida - Corts Valencianes,241,"39.49297840711153,-0.4018904586642118",39.49297840711153,-0.4018904586642118
242_LA_SAFOR_AVDA_MAESTRO_RODRIGO,La Safor - Maestro Rodrigo,242,"39.487907391410516,-0.4041974712326189",39.487907391410516,-0.4041974712326189
